0 0.0001280.0
0.5 0.0007840.0
1.0 0.0012160.0
1.5 0.0012640.0
2.0 0.0006720.001504
2.5 0.0001280.002144
3.0 0.0004960.001888
3.5 0.0005120.001904
4.0 0.0003520.00216
4.5 0.0002240.001952
5.0 0.000480.001968
5.5 0.000560.00184
6.0 0.0008320.00048
6.5 0.0011360.0
7.0 0.0012160.0
7.5 0.0012160.0
