0.0 97.0652828947 113.793512821 116.126490909 
1.0 103.098455724 115.877545064 116.325348485 
2.0 106.258819182 116.79321875 116.400813483 
3.0 108.126522874 117.36239834 116.451564943 
4.0 109.319850927 117.766878531 116.474574778 
5.0 110.139469984 118.077602721 116.490118377 
6.0 110.752817112 118.310494069 116.497334164 
7.0 111.22552175 118.488006899 116.498540343 
8.0 111.594087613 118.638988235 116.50418995 
9.0 111.890598323 118.763165905 116.508848361 
10.0 112.137492883 118.866415541 116.511347855 
11.0 112.34493893 118.94936069 116.509736129 
12.0 112.521313426 119.018600199 116.507610731 
13.0 112.673688306 119.079335258 116.50631006 
14.0 112.806894863 119.133799035 116.505305992 
15.0 112.923707685 119.182940263 116.504524294 
16.0 113.027267995 119.226309445 116.503909091 
17.0 113.119742362 119.264561694 116.502693414 
18.0 113.202992375 119.298607588 116.501780191 
19.0 113.278447558 119.32959014 116.500884038 
20.0 113.346567074 119.357993731 116.499695741 
21.0 113.408541512 119.383930811 116.498385907 
22.0 113.465525518 119.407879653 116.497256567 
23.0 113.517629272 119.430153085 116.496113876 
24.0 113.56573104 119.450451194 116.495158181 
25.0 113.610019194 119.469667236 116.49465919 
26.0 113.651144173 119.487083218 116.493994383 
27.0 113.68931584 119.503688759 116.493138203 
28.0 113.724756863 119.519276825 116.492261705 
29.0 113.757749479 119.53375366 116.491238453 
30.0 113.78864986 119.547412443 116.490347137 
31.0 113.817484411 119.560065369 116.489151713 
32.0 113.844541943 119.571827892 116.487948371 
33.0 113.869865438 119.582957825 116.486627918 
34.0 113.893857982 119.593663767 116.48547181 
35.0 113.916380994 119.603743835 116.484263381 
36.0 113.93768008 119.613530231 116.483220141 
37.0 113.957846264 119.622611057 116.482199944 
38.0 113.976912495 119.631234865 116.481249542 
39.0 113.994971593 119.639351236 116.480403261 
40.0 114.012174567 119.647095828 116.479665729 
41.0 114.028511543 119.654491203 116.47901806 
42.0 114.044055023 119.66156161 116.478390508 
43.0 114.058968238 119.668561343 116.477929326 
44.0 114.073278891 119.675219353 116.477524572 
45.0 114.08695402 119.681513713 116.477002405 
46.0 114.09995952 119.687615588 116.476505841 
47.0 114.11238419 119.693425666 116.476035095 
48.0 114.124250998 119.699004303 116.475638344 
49.0 114.135732873 119.704419674 116.475368523 
50.0 114.146854905 119.70968781 116.475170656 
51.0 114.157557384 119.714749022 116.475064693 
52.0 114.167917573 119.719588537 116.474941856 
53.0 114.177884746 119.724147743 116.474719308 
54.0 114.187439298 119.728476912 116.474353005 
55.0 114.196673527 119.73262036 116.473934181 
56.0 114.205585187 119.736619638 116.473529083 
57.0 114.214195569 119.740511937 116.473242633 
58.0 114.22251677 119.744302634 116.472996354 
